SYMBOL,DAILY CHANGE,PRICE
AEFES,"-1,13%","284,50"
AGHOL,"0,79%","447,50"
AGROT,"3,79%","18,36"
AKBNK,"0,59%","68,60"
AKFGY,"1,18%","2,57"
AKFYE,"-1,26%","25,10"
AKSA,"-0,67%","147,20"
AKSEN,"-1,55%","43,22"
ALARK,"-1,26%","101,90"
ALFAS,"-1,40%","67,05"
ARCLK,"-1,95%","166,10"
ARDYZ,"-2,73%","39,22"
ASELS,"-0,71%","62,70"
ASTOR,"1,85%","96,25"
BERA,"-2,12%","18,45"
BFREN,"-1,25%","869,00"
BIMAS,"-0,33%","608,00"
BINHO,"4,85%","443,00"
BRSAN,"-2,28%","439,75"
BRYAT,"-0,81%","2.200,00"
BTCIM,"1,72%","159,70"
CANTE,"-1,56%","1,89"
CCOLA,"-1,66%","858,00"
CIMSA,"-0,12%","34,28"
CWENE,"-3,42%","208,80"
DOAS,"-0,84%","264,50"
DOHOL,"-1,30%","16,64"
ECILC,"0,00%","59,10"
ECZYT,"2,33%","241,50"
EGEEN,"-1,50%","12.792,50"
EKGYO,"0,92%","12,02"
ENERY,"1,72%","183,70"
ENJSA,"0,00%","67,30"
ENKAI,"1,54%","43,56"
EREGL,"3,04%","57,60"
EUPWR,"1,83%","97,35"
EUREN,"6,33%","15,80"
FROTO,"-1,13%","1.046,00"
GARAN,"0,92%","131,20"
GESAN,"0,82%","49,34"
GOLTS,"-2,11%","510,00"
GUBRF,"-4,78%","159,30"
HALKB,"0,10%","19,43"
HEKTS,"0,08%","13,31"
ISCTR,"0,87%","17,47"
ISGYO,"-1,10%","17,94"
ISMEN,"-1,86%","42,20"
IZENR,"-1,73%","22,74"
KAYSE,"1,63%","28,64"
KCAER,"-1,07%","48,20"
KCHOL,"-0,49%","224,50"
KLSER,"-3,35%","50,45"
KONTR,"6,32%","55,50"
KONYA,"1,51%","8.255,00"
KOZAA,"-0,94%","57,85"
KOZAL,"0,26%","23,04"
KRDMD,"-1,06%","31,78"
KTLEV,"-1,98%","44,64"
LMKDC,"-1,39%","22,64"
MAVI,"-0,69%","129,10"
MGROS,"0,61%","574,50"
MIATK,"-3,17%","62,55"
OBAMS,"-1,78%","36,50"
ODAS,"-1,60%","8,61"
OTKAR,"-1,53%","611,00"
OYAKC,"1,38%","76,90"
PEKGY,"-2,07%","6,63"
PETKM,"2,14%","24,78"
PGSUS,"-0,36%","247,20"
QUAGR,"-0,86%","3,46"
REEDR,"-2,54%","34,50"
SAHOL,"0,38%","106,90"
SASA,"4,04%","45,84"
SDTTR,"-1,58%","265,00"
SISE,"-1,12%","49,64"
SKBNK,"-0,24%","4,13"
SMRTG,"-0,20%","48,86"
SOKM,"-1,95%","65,20"
TABGD,"-0,65%","200,20"
TAVHL,"-0,44%","282,50"
TCELL,"-0,18%","109,90"
THYAO,"-0,71%","314,25"
TKFEN,"-0,09%","56,45"
TKNSA,"-2,20%","31,98"
TMSN,"1,78%","142,80"
TOASO,"0,00%","299,25"
TSKB,"-0,46%","13,05"
TTKOM,"0,88%","51,45"
TTRAK,"0,00%","831,00"
TUKAS,"-1,05%","8,48"
TUPRS,"-0,30%","165,70"
TURSG,"0,37%","68,30"
ULKER,"-2,26%","172,70"
VAKBN,"0,25%","23,74"
VESBE,"0,09%","22,40"
VESTL,"-1,80%","76,50"
YEOTK,"-2,01%","204,50"
YKBNK,"0,25%","32,28"
YYLGD,"-2,86%","12,57"
ZOREN,"-1,43%","5,52"
